127.0.0.1 - - [04/Jul/2023:12:29:47 +0000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:07 +0000] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:10 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:14 +0000] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:14 +0000] "GET /medicare/ HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:14 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:14 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:16 +0000] "GET /medicare/manage/product HTTP/1.1" 200 11362
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:16 +0000] "GET /medicare/json/data/admin/all/products?_=1688473816552 HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:16 +0000] "GET /medicare/resources/images/PRDABCXYZDEFX.jpg HTTP/1.1" 200 28457
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:26 +0000] "POST /medicare/manage/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:26 +0000] "GET /medicare/manage/product?success=product HTTP/1.1" 200 11552
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:26 +0000] "GET /medicare/json/data/admin/all/products?_=1688473826831 HTTP/1.1" 200 1638
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:26 +0000] "GET /medicare/resources/images/PRDAC5E7711A7.jpg HTTP/1.1" 200 6934
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:39 +0000] "POST /medicare/manage/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:39 +0000] "GET /medicare/manage/product?success=product HTTP/1.1" 200 11552
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:39 +0000] "GET /medicare/json/data/admin/all/products?_=1688473839773 HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:39 +0000] "GET /medicare/resources/images/PRDAC5E7711A7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:30:39 +0000] "GET /medicare/resources/images/PRD73B46CAF68.jpg HTTP/1.1" 200 9083
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:31:01 +0000] "GET /medicare/manage/8/product HTTP/1.1" 200 11605
